school_type,bgn_p50,mid_p50,mid_p10,mid_p25,mid_p75,mid_p90
Engineering,75500,123000,0,104000,161000,0
Engineering,72200,126000,76800,99200,168000,220000
Engineering,71800,122000,0,96000,180000,0
Ivy League,66500,131000,68900,100000,190000,261000
Ivy League,63400,124000,54800,86200,179000,288000
Engineering,62400,114000,66800,94300,143000,190000
Engineering,62200,114000,0,80200,142000,0
Engineering,61800,111000,63300,80100,150000,209000
Engineering,61100,110000,71600,85500,140000,182000
Engineering,61000,114000,80000,91200,137000,180000
Ivy League,60900,120000,55900,79200,192000,282000
Engineering,60600,105000,68700,81900,138000,185000
Ivy League,60300,110000,56800,79800,160000,210000
State,59900,112000,59500,81000,149000,201000
Ivy League,59400,107000,50300,71900,161000,241000
Ivy League,59100,126000,58000,80600,198000,326000
Engineering,58300,106000,67200,85200,137000,183000
Engineering,58100,106000,62200,87900,142000,201000
Ivy League,58000,134000,63100,90200,234000,321000
State,57200,101000,55000,74700,133000,178000
State,57100,95800,67600,80400,122000,166000
Ivy League,56200,109000,55400,74400,159000,228000
Engineering,56000,97800,56100,77400,121000,165000
Engineering,55800,93400,71500,81900,122000,147000
Liberal Arts,54500,107000,0,84900,162000,0
Liberal Arts,54100,110000,62800,80600,156000,251000
Liberal Arts,53900,107000,70600,79300,144000,204000
Liberal Arts,53600,104000,0,82800,146000,0
State,53600,95900,50900,71200,146000,201000
State,53500,95600,50700,70500,122000,156000
Engineering,53500,95400,50600,71400,124000,163000
Engineering,53000,96700,55200,74000,117000,153000
State,52900,96100,48200,68900,132000,177000
Party,52900,96100,48200,68900,132000,177000
Liberal Arts,52800,108000,60000,76700,167000,265000
State,52700,103000,52200,71800,146000,215000
Engineering,52700,80700,49800,64000,106000,142000
State,52700,93000,50900,69400,128000,182000
State,52600,101000,51300,72500,139000,193000
State,52300,99600,52000,71600,135000,202000
State,52000,95000,50400,68300,126000,166000
Party,52000,95000,50400,68300,126000,166000
Liberal Arts,51900,105000,0,54800,157000,0
Liberal Arts,51700,102000,0,76400,143000,0
State,51400,90500,49900,67400,121000,168000
State,51100,101000,51700,75400,131000,177000
Engineering,51000,93400,0,67400,123000,0
Party,50500,95000,51300,71200,129000,173000
State,50500,95000,51300,71200,129000,173000
State,50300,91800,48100,65100,128000,176000
Liberal Arts,50200,106000,0,65600,143000,0
Party,49900,85700,46300,62000,117000,160000
State,49900,85700,46300,62000,117000,160000
Party,49700,93900,50100,67400,129000,188000
State,49700,96100,51100,71300,131000,171000
Liberal Arts,49700,104000,0,67200,167000,0
State,49700,93900,50100,67400,129000,188000
State,49500,93000,47200,67100,129000,181000
Liberal Arts,49200,83700,0,51900,123000,0
State,49200,84300,46000,62400,115000,155000
Liberal Arts,49100,92800,0,55800,185000,0
State,48900,87800,47400,62400,118000,170000
Engineering,48900,84600,45000,62100,112000,159000
State,48800,85300,47000,59800,115000,149000
Liberal Arts,48600,94600,44500,59400,151000,211000
Liberal Arts,48600,101000,0,63300,161000,0
State,48400,86000,50500,61800,111000,150000
State,48300,96700,47800,66000,123000,172000
Liberal Arts,48100,107000,0,74600,146000,0
State,48000,88800,46100,66400,120000,162000
State,47800,86900,51300,67200,114000,150000
State,47800,82400,42900,59600,111000,154000
Liberal Arts,47700,94200,0,69100,129000,0
Liberal Arts,47500,103000,0,69400,141000,0
State,47500,86100,44800,61700,117000,160000
State,47500,81700,44700,58800,110000,146000
State,47400,84100,44600,60700,114000,163000
Party,47400,84100,44600,60700,114000,163000
State,47400,88100,46800,62800,122000,154000
Liberal Arts,47300,96500,0,60700,162000,0
State,47300,86400,45100,62700,114000,150000
State,47300,84200,50200,59800,110000,162000
Liberal Arts,47200,95800,48700,75200,135000,230000
State,47200,83300,49200,64800,112000,153000
State,47100,87900,45400,62900,120000,172000
Party,47100,87900,45400,62900,120000,172000
State,47100,97600,51600,69000,128000,187000
State,47000,77800,46900,59100,105000,130000
Party,46900,87800,43700,61300,120000,165000
State,46900,87800,43700,61300,120000,165000
State,46800,81300,37200,59900,109000,134000
State,46600,88200,43100,61300,122000,168000
State,46600,77500,40200,58100,111000,151000
